DATE,PRCP,SNOW
2008-07,103.8,0
2008-08,139.7,0
2008-09,44.8,0
2008-10,105.4,0
2008-11,106.3,0
2008-12,122.3,
2009-01,71.9,
2009-02,56.1,
2009-03,158.1,
2009-04,60.2,
2009-05,105.6,
2009-06,79.8,
2009-07,75.9,
2009-08,99.4,
2009-09,95.1,
2009-10,212.3,
2009-11,156.6,
2009-12,188.7,
2010-01,144.5,
2010-02,93.8,
2010-03,71.2,
2010-04,35.3,0
2010-05,108.5,
2010-06,35,
2010-07,98.5,
2010-08,181.4,
2010-09,101.3,
2010-10,32.4,
2010-11,26.5,
2010-12,79.8,
2011-01,68.9,
2011-02,76.7,
2011-03,149.1,
2011-04,51.8,
2011-05,95.8,0
2011-07,48.3,
2011-08,45.2,
2011-09,80.1,
2011-10,58.8,
2011-11,81.7,
2011-12,72.1,
2012-01,91,
2012-02,46.5,
2012-03,87.8,
2012-04,59.9,
2012-05,118.2,
2012-07,138.6,
2012-08,158.2,
2012-09,65.4,
2012-10,35.6,0
2012-11,33,
2012-12,138.5,
2013-01,115.6,
2013-02,112.6,
