DATE,TEMP,PRCP
1/1/2011,49.7,0
1/2/2011,38.2,0.34
1/3/2011,24.2,0.11
1/4/2011,30.4,0
1/5/2011,30.6,0
1/6/2011,26.8,0
1/7/2011,25.9,0.04
1/8/2011,19.3,0.1
1/9/2011,12.3,0.08
1/10/2011,18.1,0
1/11/2011,27.1,0.01
1/12/2011,20.4,0.05
1/13/2011,18.1,0.03
1/14/2011,17.5,0.01
1/15/2011,27.5,0
1/16/2011,30.3,0
1/17/2011,31.2,0
1/18/2011,36.2,0.06
1/19/2011,37.2,0.08
1/20/2011,31.6,0.04
1/21/2011,21.9,0.11
1/22/2011,13.9,0.01
1/23/2011,19.5,0
1/24/2011,23,0
1/25/2011,37,0
1/26/2011,34.9,0.09
1/27/2011,23.5,0.7
1/28/2011,29.1,0.12
1/29/2011,32.8,0.01
1/30/2011,38.8,0
1/31/2011,37,0
2/1/2011,38.5,0
2/2/2011,44.3,0.23
2/3/2011,20.9,0.01
2/4/2011,30.3,0
2/5/2011,41.9,0
2/6/2011,31.7,0.02
2/7/2011,38.2,0
2/8/2011,28.2,0.01
2/9/2011,18,0.03
2/10/2011,19.3,0.11
2/11/2011,22.2,0
2/12/2011,29.1,0
2/13/2011,36.9,0
2/14/2011,46.1,0
2/15/2011,36.2,0
2/16/2011,46.4,0
2/17/2011,53.9,0
2/18/2011,55.4,0
2/19/2011,45.4,0.01
2/20/2011,36.7,0
2/21/2011,52,0.02
2/22/2011,42.5,0.34
2/23/2011,36.6,0.02
2/24/2011,41.7,0
2/25/2011,44.5,0.87
2/26/2011,36.8,0.28
2/27/2011,51.2,0
2/28/2011,57.6,0.01
3/1/2011,36,0.98
3/2/2011,42.1,0
3/3/2011,39.7,0
3/4/2011,41.6,0
3/5/2011,48.7,0
3/6/2011,39.7,1.15
3/7/2011,29.2,0.46
3/8/2011,38.2,0
3/9/2011,39.7,0.04
3/10/2011,44.2,0.35
3/11/2011,31,0.58
3/12/2011,42,0.02
3/13/2011,51.7,0
3/14/2011,36.9,0
3/15/2011,38.8,0.26
3/16/2011,39.6,0.03
3/17/2011,45.5,0
3/18/2011,61,0
3/19/2011,51.7,0.6
3/20/2011,46,0.08
3/21/2011,58.5,0
3/22/2011,65.5,0
3/23/2011,63.7,0
3/24/2011,42.9,0.58
3/25/2011,30.9,0.02
3/26/2011,34.1,0
3/27/2011,30.7,0.14
3/28/2011,30.5,0.11
3/29/2011,34.9,0
3/30/2011,40.8,0.02
3/31/2011,34.3,0.08
4/1/2011,32.5,0.17
4/2/2011,37.9,0.09
4/3/2011,44.3,0.05
4/4/2011,67.1,0
4/5/2011,44.4,1.19
4/6/2011,43.3,0.02
4/7/2011,58.2,0
4/8/2011,61.3,0
4/9/2011,60.5,0.81
4/10/2011,63.4,0.99
4/11/2011,71.6,0
4/12/2011,57.4,0.23
4/13/2011,44.7,0
4/14/2011,52.7,0
4/15/2011,59.4,0
4/16/2011,56.6,0.18
4/17/2011,45.4,0.3
4/18/2011,59,0.02
4/19/2011,68.5,0
4/20/2011,68.5,0
4/21/2011,52.1,0
4/22/2011,50.5,0.01
4/23/2011,58.2,0.18
4/24/2011,66.5,0.02
4/25/2011,68.3,0.02
4/26/2011,70,0.27
4/27/2011,69.6,0
4/28/2011,60.9,1.01
4/29/2011,53,0.42
4/30/2011,52.6,0
5/1/2011,59.8,0
5/2/2011,66.2,0.19
5/3/2011,66.2,0
5/4/2011,43.7,0.53
5/5/2011,43.3,0.05
5/6/2011,50.5,0
5/7/2011,53.7,0.01
5/8/2011,55.6,1.07
5/9/2011,58.8,0.69
5/10/2011,64.1,0
5/11/2011,66.5,0.08
5/12/2011,70.1,0.05
5/13/2011,68.9,0
5/14/2011,62.9,0
5/15/2011,57.4,0.63
5/16/2011,52.8,0.09
5/17/2011,45.6,0.07
5/18/2011,48.5,0.44
5/19/2011,51.2,0.13
5/20/2011,57.5,0.99
5/21/2011,62.9,0
5/22/2011,70.8,0
5/23/2011,67.9,0.3
5/24/2011,67.3,0
5/25/2011,67,0.06
5/26/2011,73.5,0
5/27/2011,62.3,0.48
5/28/2011,66.6,0.25
5/29/2011,73.1,0
5/30/2011,74.5,0
5/31/2011,75.6,0
6/1/2011,74.8,0
6/2/2011,70.6,0
6/3/2011,66.4,0
6/4/2011,67.3,0
6/5/2011,71.7,0.01
6/6/2011,71.6,0
6/7/2011,70.6,0
6/8/2011,72,0.59
6/9/2011,75.6,0
6/10/2011,71.8,0.03
6/11/2011,73.4,0
6/12/2011,71.6,0
6/13/2011,65.3,0.22
6/14/2011,59.9,0
6/15/2011,61.2,0
6/16/2011,66.4,0.02
6/17/2011,67.6,0.1
6/18/2011,69.7,0.08
6/19/2011,68.6,0.04
6/20/2011,67.5,0.56
6/21/2011,71.6,0.03
6/22/2011,71.6,0.52
6/23/2011,71.3,0.04
6/24/2011,69.6,0.06
6/25/2011,64.8,0.05
6/26/2011,62.5,0
6/27/2011,70.4,0.12
6/28/2011,73.1,0
6/29/2011,68.3,0.17
6/30/2011,66.3,0
7/1/2011,69.8,0
7/2/2011,72.6,0
7/3/2011,74.5,0
7/4/2011,73.2,0
7/5/2011,71,0.11
7/6/2011,74.7,0
7/7/2011,74.9,0.01
7/8/2011,71.5,0.56
7/9/2011,70.2,0.53
7/10/2011,74.8,0
7/11/2011,79.1,0
7/12/2011,74.6,0.25
7/13/2011,76.4,0.14
7/14/2011,70.5,0
7/15/2011,67.4,0
7/16/2011,66.8,0
7/17/2011,70.5,0
7/18/2011,72.7,0
7/19/2011,75.2,0
7/20/2011,77.5,0.36
7/21/2011,80.5,0.12
7/22/2011,79.8,0
7/23/2011,73.3,0.41
7/24/2011,76.7,0.26
7/25/2011,73.7,0
7/26/2011,73.7,0.55
7/27/2011,75.6,0
7/28/2011,75.7,0
7/29/2011,78.3,0
7/30/2011,75,0
7/31/2011,74.2,0.05
8/1/2011,75,0
8/2/2011,75.3,0
8/3/2011,73,0
8/4/2011,75.5,0.01
8/5/2011,76,0
8/6/2011,76.6,0
8/7/2011,75,0.01
8/8/2011,75.6,0.15
8/9/2011,72.9,0.27
8/10/2011,70.9,0
8/11/2011,69.1,0
8/12/2011,68.7,0
8/13/2011,75.2,0
8/14/2011,68.3,0.01
8/15/2011,63.1,0.28
8/16/2011,66.6,0.13
8/17/2011,68.5,0
8/18/2011,72.5,0
8/19/2011,70.7,0.08
8/20/2011,71.7,0.01
8/21/2011,73.7,0
8/22/2011,69.1,0.72
8/23/2011,63.8,0
8/24/2011,70.6,0
8/25/2011,74.7,0
8/26/2011,72.2,0.08
8/27/2011,69.4,0
8/28/2011,67.5,0
8/29/2011,64.8,0
8/30/2011,67.8,0
8/31/2011,72.6,0
9/1/2011,75.7,0
9/2/2011,77.8,0
9/3/2011,76.6,0
9/4/2011,70.5,0.3
9/5/2011,65.1,0.6
9/6/2011,59.4,2.91
9/7/2011,63,0.43
9/8/2011,62.2,0.08
9/9/2011,64.1,0.01
9/10/2011,62.2,0
9/11/2011,63,0
9/12/2011,63.3,0.08
9/13/2011,65.2,0
9/14/2011,69.4,0
9/15/2011,60.6,0
9/16/2011,48.3,0.13
9/17/2011,53.9,0
9/18/2011,55.6,0
9/19/2011,57.5,0
9/20/2011,61.9,0.12
9/21/2011,64.3,0.07
9/22/2011,67.1,0.09
9/23/2011,65.5,0
9/24/2011,59.5,0.13
9/25/2011,67.3,0
9/26/2011,69.1,0
9/27/2011,66.1,0.58
9/28/2011,61.4,0.05
9/29/2011,60.9,0.03
9/30/2011,56.4,0
10/1/2011,41,0.3
10/2/2011,42.3,0.3
10/3/2011,44.1,0.01
10/4/2011,48.4,0.03
10/5/2011,52.7,0
10/6/2011,57.4,0
10/7/2011,60.4,0
10/8/2011,61.3,0
10/9/2011,59.9,0
10/10/2011,61.5,0
10/11/2011,62.1,0
10/12/2011,57.9,0.47
10/13/2011,59.1,0.23
10/14/2011,55.9,0.48
10/15/2011,52.9,0.15
10/16/2011,54,0
10/17/2011,63.7,0
10/18/2011,61.1,0
10/19/2011,59.9,0
10/20/2011,41.3,0.33
10/21/2011,42.2,0.06
10/22/2011,43,0
10/23/2011,46.6,0
10/24/2011,52,0
10/25/2011,50.6,0.05
10/26/2011,59.2,0
10/27/2011,56.1,0.03
10/28/2011,38.8,0.41
10/29/2011,35.2,0.36
10/30/2011,38.7,0.16
10/31/2011,42.5,0
11/1/2011,41.6,0
11/2/2011,49.8,0
11/3/2011,53.3,0
11/4/2011,48.6,0.04
11/5/2011,41.8,0.01
11/6/2011,44.5,0
11/7/2011,49.7,0
11/8/2011,53.7,0
11/9/2011,55.9,0
11/10/2011,45.2,0.11
11/11/2011,34.5,0
11/12/2011,43,0
11/13/2011,52.8,0
11/14/2011,60.7,0
11/15/2011,58,0.02
11/16/2011,53.8,0.92
11/17/2011,40.4,0.87
11/18/2011,36.6,0.13
11/19/2011,42.9,0
11/20/2011,54.8,0
11/21/2011,57.6,0.21
11/22/2011,57.6,0.05
11/23/2011,49.9,0.74
11/24/2011,40.2,0.03
11/25/2011,44.6,0
11/26/2011,48.8,0
11/27/2011,55.1,0
11/28/2011,57.6,0
11/29/2011,50.2,0.67
11/30/2011,33,0.1
12/1/2011,34.5,0.02
12/2/2011,38.5,0
12/3/2011,40.5,0
12/4/2011,44.2,0
12/5/2011,51,0
12/6/2011,55.9,0.21
12/7/2011,43.5,0.91
12/8/2011,27.1,1.12
12/9/2011,33.6,0
12/10/2011,31.6,0
12/11/2011,27.5,0
12/12/2011,36.5,0
12/13/2011,45.1,0
12/14/2011,49.1,0
12/15/2011,53.4,0.02
12/16/2011,43.9,0.07
12/17/2011,30.6,0.12
12/18/2011,31.2,0
12/19/2011,37.5,0
12/20/2011,46.1,0.01
12/21/2011,53.3,0.39
12/22/2011,46.2,99.99
12/23/2011,40.9,0.59
12/24/2011,34.4,0.04
12/25/2011,35.6,0.03
12/26/2011,37.4,0
12/27/2011,41.3,0.11
12/28/2011,33,0.4
12/29/2011,33,0.05
12/30/2011,44.1,0
12/31/2011,45,0.02
